feature,importance_mean,importance_std
pcm_fftMag_mfcc_sma[1]_amean,0.30735927499766785,0.004962365315031176
pcm_fftMag_spectralFlux_sma_amean,0.14099479132909282,0.0020993564552296753
pcm_fftMag_spectralFlux_sma_de_stddev,0.084978623607354,0.004817813471054881
F0final_sma_de_stddev,0.03948129342114728,0.001354946960089093
pcm_RMSenergy_sma_de_stddev,0.03877529817910672,0.0022766774389738247
pcm_fftMag_mfcc_sma[2]_amean,0.03576457657115641,0.001988296142727904
F0final_sma_stddev,0.03504908656312535,0.0017646134516856003
pcm_fftMag_mfcc_sma_de[1]_stddev,0.03493786784019559,0.0007391971009522162
pcm_fftMag_spectralRollOff90.0_sma_de_stddev,0.033533999305168226,0.0022858492314315024
pcm_fftMag_spectralCentroid_sma_de_stddev,0.028455520314768633,0.0016437324648345332
pcm_fftMag_mfcc_sma_de[2]_stddev,0.028139548564230378,0.0015954118511326701
pcm_fftMag_mfcc_sma_de[3]_stddev,0.026606069955574886,0.0012458426521511437
pcm_fftMag_spectralRollOff90.0_sma_amean,0.02438942141685805,0.0011076477293721413
F0final_sma_amean,0.024246884953246693,0.0005232804886615384
pcm_fftMag_spectralHarmonicity_sma_amean,0.021651589194375064,0.0014928127852516073
pcm_RMSenergy_sma_de_amean,0.021321066328124517,0.0015269632509695783
pcm_fftMag_mfcc_sma[1]_stddev,0.020948463399158658,0.0015038820134478039
pcm_fftMag_spectralRollOff75.0_sma_de_amean,0.02084518972286713,0.00027552885411488004
pcm_fftMag_mfcc_sma[2]_stddev,0.020437589000250368,0.0014409047374094183
pcm_RMSenergy_sma_amean,0.01997616757388827,0.0012250284427125344
pcm_fftMag_spectralHarmonicity_sma_stddev,0.019624953992563497,0.0010195658884025536
pcm_fftMag_mfcc_sma_de[3]_amean,0.018058064566106834,0.0004076080548686803
pcm_fftMag_mfcc_sma_de[2]_amean,0.01555741945569411,0.0010585061389603713
pcm_fftMag_spectralFlux_sma_de_amean,0.015443972931547489,0.0009288779160198967
pcm_fftMag_mfcc_sma_de[1]_amean,0.014498589884856417,0.0010475950232877616
pcm_fftMag_spectralRollOff90.0_sma_de_amean,0.014021879704469465,0.0008836692176777435
pcm_RMSenergy_sma_stddev,0.013514251427850833,0.0011832361706148983
pcm_fftMag_spectralHarmonicity_sma_de_stddev,0.01248568717987666,0.0012702902749691645
pcm_fftMag_mfcc_sma[3]_amean,0.012461016372626466,0.00037709003507287983
F0final_sma_de_amean,0.012430014741935568,0.0006906879592857917
pcm_fftMag_spectralRollOff75.0_sma_stddev,0.01059708551290688,0.0007114172493172861
pcm_fftMag_spectralHarmonicity_sma_de_amean,0.00949815828938121,0.0005020644119771084
pcm_fftMag_spectralFlux_sma_stddev,0.009167881499939457,0.00029353620193811006
pcm_fftMag_spectralCentroid_sma_de_amean,0.008674517569467199,0.0006570294214327401
pcm_fftMag_spectralRollOff75.0_sma_amean,0.008523242268528053,0.0008068845742243648
pcm_fftMag_mfcc_sma[3]_stddev,0.008088334332610692,0.00027788149505888473
pcm_fftMag_spectralCentroid_sma_amean,0.00675493390576436,0.00016776557164872074
pcm_fftMag_spectralRollOff90.0_sma_stddev,0.004926238747766543,0.0005100581100461991
pcm_fftMag_spectralRollOff75.0_sma_de_stddev,0.004493404218943242,0.00032207426832846594
pcm_fftMag_spectralCentroid_sma_stddev,0.00410195013622836,0.00032063315821902053
